genre,year,sales
Action,1980,0.34
Action,1981,14.84
Action,1982,6.52
Action,1983,2.86
Action,1984,1.85
Action,1985,3.52
Action,1986,13.74
Action,1987,1.12
Action,1988,1.75
Action,1989,4.64
Action,1990,6.39
Action,1991,6.76
Action,1992,3.83
Action,1993,1.81
Action,1994,1.55
Action,1995,3.57
Action,1996,20.58
Action,1997,27.58
Action,1998,39.44
Action,1999,27.78
Action,2000,34.04
Action,2001,59.39
Action,2002,86.77
Action,2003,67.93
Action,2004,76.26
Action,2005,85.69
Action,2006,66.58
Action,2007,106.5
Action,2008,136.39
Action,2009,139.36
Action,2010,117.64
Action,2011,118.96
Action,2012,122.04
Action,2013,125.22
Action,2014,99.02
Action,2015,70.7
Adventure,1980,0
Adventure,1981,0
Adventure,1982,0
Adventure,1983,0.4
Adventure,1984,0
Adventure,1985,0
Adventure,1986,0
Adventure,1987,4.38
Adventure,1988,0
Adventure,1989,0
Adventure,1990,0
Adventure,1991,2.24
Adventure,1992,12.24
Adventure,1993,0.07
Adventure,1994,3.74
Adventure,1995,0.72
Adventure,1996,4.19
Adventure,1997,4.96
Adventure,1998,9.05
Adventure,1999,7.6
Adventure,2000,2.98
Adventure,2001,9.12
Adventure,2002,11.05
Adventure,2003,2.14
Adventure,2004,8.7
Adventure,2005,8.53
Adventure,2006,11.47
Adventure,2007,24.47
Adventure,2008,25.02
Adventure,2009,20.68
Adventure,2010,16.57
Adventure,2011,15.98
Adventure,2012,5.99
Adventure,2013,6.61
Adventure,2014,6.06
Adventure,2015,8.03
Fighting,1980,0.77
Fighting,1981,0
Fighting,1982,0
Fighting,1983,0
Fighting,1984,0
Fighting,1985,1.05
Fighting,1986,0
Fighting,1987,5.42
Fighting,1988,0
Fighting,1989,0
Fighting,1990,0
Fighting,1991,0.39
Fighting,1992,15.25
Fighting,1993,8.75
Fighting,1994,8.47
Fighting,1995,14.85
Fighting,1996,18.06
Fighting,1997,11.76
Fighting,1998,31.66
Fighting,1999,14.26
Fighting,2000,20.22
Fighting,2001,18.12
Fighting,2002,25.02
Fighting,2003,23.73
Fighting,2004,16.78
Fighting,2005,19.72
Fighting,2006,22.55
Fighting,2007,17.61
Fighting,2008,35.38
Fighting,2009,32.15
Fighting,2010,14.89
Fighting,2011,22.68
Fighting,2012,9.51
Fighting,2013,7.21
Fighting,2014,16.15
Fighting,2015,7.78
Misc,1980,2.71
Misc,1981,0
Misc,1982,0.87
Misc,1983,2.14
Misc,1984,1.45
Misc,1985,0
Misc,1986,0
Misc,1987,0
Misc,1988,0
Misc,1989,1.28
Misc,1990,0
Misc,1991,0.08
Misc,1992,4.94
Misc,1993,0.3
Misc,1994,2.86
Misc,1995,6.4
Misc,1996,10.68
Misc,1997,5.69
Misc,1998,11.94
Misc,1999,20.65
Misc,2000,15.54
Misc,2001,16.4
Misc,2002,15.67
Misc,2003,23.82
Misc,2004,31.32
Misc,2005,61.24
Misc,2006,67.35
Misc,2007,92.27
Misc,2008,87.03
Misc,2009,76.94
Misc,2010,96.86
Misc,2011,56.08
Misc,2012,22.92
Misc,2013,25.65
Misc,2014,23.68
Misc,2015,11.69
Platform,1980,0
Platform,1981,6.93
Platform,1982,5.03
Platform,1983,6.93
Platform,1984,0.69
Platform,1985,43.17
Platform,1986,9.39
Platform,1987,1.74
Platform,1988,27.73
Platform,1989,20.66
Platform,1990,22.97
Platform,1991,7.64
Platform,1992,13.42
Platform,1993,18.67
Platform,1994,28.74
Platform,1995,16.69
Platform,1996,28.23
Platform,1997,21.85
Platform,1998,29.88
Platform,1999,20.82
Platform,2000,16.06
Platform,2001,39.28
Platform,2002,45.97
Platform,2003,42.89
Platform,2004,47.34
Platform,2005,23.56
Platform,2006,49.8
Platform,2007,35.59
Platform,2008,35.7
Platform,2009,41.09
Platform,2010,31.9
Platform,2011,28.11
Platform,2012,18.55
Platform,2013,25.12
Platform,2014,8.89
Platform,2015,6.05
Puzzle,1980,0
Puzzle,1981,2.24
Puzzle,1982,10.03
Puzzle,1983,0.78
Puzzle,1984,3.14
Puzzle,1985,3.21
Puzzle,1986,0
Puzzle,1987,0
Puzzle,1988,5.58
Puzzle,1989,37.75
Puzzle,1990,6
Puzzle,1991,3.24
Puzzle,1992,4.84
Puzzle,1993,3.17
Puzzle,1994,1.53
Puzzle,1995,2.71
Puzzle,1996,3.91
Puzzle,1997,5.89
Puzzle,1998,6.34
Puzzle,1999,1.36
Puzzle,2000,3.82
Puzzle,2001,8
Puzzle,2002,5.34
Puzzle,2003,2.42
Puzzle,2004,8.43
Puzzle,2005,20.45
Puzzle,2006,10.9
Puzzle,2007,24
Puzzle,2008,15.59
Puzzle,2009,20.31
Puzzle,2010,11.18
Puzzle,2011,5.11
Puzzle,2012,1.76
Puzzle,2013,0.99
Puzzle,2014,1.5
Puzzle,2015,0.7
Racing,1980,0
Racing,1981,0.48
Racing,1982,1.57
Racing,1983,0
Racing,1984,5.95
Racing,1985,0
Racing,1986,1.96
Racing,1987,0
Racing,1988,2.14
Racing,1989,0
Racing,1990,6.26
Racing,1991,1.14
Racing,1992,9.04
Racing,1993,0.36
Racing,1994,2.19
Racing,1995,6.09
Racing,1996,28.24
Racing,1997,31.91
Racing,1998,27.9
Racing,1999,37.27
Racing,2000,19.99
Racing,2001,55.81
Racing,2002,30.2
Racing,2003,52.19
Racing,2004,47.86
Racing,2005,56.42
Racing,2006,34.09
Racing,2007,39.17
Racing,2008,70.66
Racing,2009,34.19
Racing,2010,34.93
Racing,2011,35.01
Racing,2012,14.46
Racing,2013,13.04
Racing,2014,16.69
Racing,2015,7.92
Role-Playing,1980,0
Role-Playing,1981,0
Role-Playing,1982,0
Role-Playing,1983,0
Role-Playing,1984,0
Role-Playing,1985,0
Role-Playing,1986,2.52
Role-Playing,1987,4.65
Role-Playing,1988,5.88
Role-Playing,1989,2.2
Role-Playing,1990,4.52
Role-Playing,1991,3.25
Role-Playing,1992,6.86
Role-Playing,1993,5.59
Role-Playing,1994,7.11
Role-Playing,1995,14.26
Role-Playing,1996,43.96
Role-Playing,1997,21.79
Role-Playing,1998,28.09
Role-Playing,1999,49.09
Role-Playing,2000,29.03
Role-Playing,2001,22.06
Role-Playing,2002,45.13
Role-Playing,2003,30.28
Role-Playing,2004,53.95
Role-Playing,2005,28.55
Role-Playing,2006,57.73
Role-Playing,2007,43.89
Role-Playing,2008,59.83
Role-Playing,2009,47.9
Role-Playing,2010,70.52
Role-Playing,2011,53.37
Role-Playing,2012,47.81
Role-Playing,2013,44.92
Role-Playing,2014,45.86
Role-Playing,2015,36.44
Shooter,1980,7.07
Shooter,1981,10.04
Shooter,1982,3.79
Shooter,1983,0.48
Shooter,1984,31.1
Shooter,1985,1
Shooter,1986,3.89
Shooter,1987,0.71
Shooter,1988,0.51
Shooter,1989,1.2
Shooter,1990,0
Shooter,1991,2
Shooter,1992,0.29
Shooter,1993,3.08
Shooter,1994,8.3
Shooter,1995,4.15
Shooter,1996,6.91
Shooter,1997,22.17
Shooter,1998,9.8
Shooter,1999,12.25
Shooter,2000,6.81
Shooter,2001,24.77
Shooter,2002,48.58
Shooter,2003,27.14
Shooter,2004,46.95
Shooter,2005,41.6
Shooter,2006,38.37
Shooter,2007,71.04
Shooter,2008,59.51
Shooter,2009,69.89
Shooter,2010,77.41
Shooter,2011,99.36
Shooter,2012,72.86
Shooter,2013,62.8
Shooter,2014,66
Shooter,2015,66.15
Simulation,1980,0
Simulation,1981,0.45
Simulation,1982,0
Simulation,1983,0
Simulation,1984,0
Simulation,1985,0.03
Simulation,1986,0
Simulation,1987,0
Simulation,1988,0.03
Simulation,1989,0
Simulation,1990,1.14
Simulation,1991,2.14
Simulation,1992,2.14
Simulation,1993,0.19
Simulation,1994,2.73
Simulation,1995,4.18
Simulation,1996,11.33
Simulation,1997,9.65
Simulation,1998,7.11
Simulation,1999,11.44
Simulation,2000,3.38
Simulation,2001,19.54
Simulation,2002,10.81
Simulation,2003,21.21
Simulation,2004,10.85
Simulation,2005,49.27
Simulation,2006,21.77
Simulation,2007,48.97
Simulation,2008,46.76
Simulation,2009,33.71
Simulation,2010,22.15
Simulation,2011,15.28
Simulation,2012,13.38
Simulation,2013,8.67
Simulation,2014,5.55
Simulation,2015,5.62
Sports,1980,0.49
Sports,1981,0.79
Sports,1982,1.05
Sports,1983,3.2
Sports,1984,6.18
Sports,1985,1.96
Sports,1986,5.57
Sports,1987,3.72
Sports,1988,3.6
Sports,1989,5.72
Sports,1990,2.11
Sports,1991,2.41
Sports,1992,2.95
Sports,1993,3.18
Sports,1994,8.39
Sports,1995,7.98
Sports,1996,17.45
Sports,1997,30.02
Sports,1998,41.79
Sports,1999,30.29
Sports,2000,41.19
Sports,2001,51.43
Sports,2002,65.42
Sports,2003,56.11
Sports,2004,63.68
Sports,2005,59.54
Sports,2006,136.16
Sports,2007,98.2
Sports,2008,95.34
Sports,2009,138.52
Sports,2010,92.53
Sports,2011,56.99
Sports,2012,30.93
Sports,2013,41.55
Sports,2014,46.66
Sports,2015,41.54
Strategy,1980,0
Strategy,1981,0
Strategy,1982,0
Strategy,1983,0
Strategy,1984,0
Strategy,1985,0
Strategy,1986,0
Strategy,1987,0
Strategy,1988,0
Strategy,1989,0
Strategy,1990,0
Strategy,1991,0.94
Strategy,1992,0.36
Strategy,1993,0.81
Strategy,1994,3.56
Strategy,1995,6.51
Strategy,1996,5.61
Strategy,1997,7.71
Strategy,1998,13.47
Strategy,1999,18.46
Strategy,2000,8.5
Strategy,2001,7.55
Strategy,2002,5.56
Strategy,2003,7.99
Strategy,2004,7.19
Strategy,2005,5.37
Strategy,2006,4.27
Strategy,2007,9.42
Strategy,2008,11.69
Strategy,2009,12.56
Strategy,2010,13.87
Strategy,2011,9.06
Strategy,2012,3.33
Strategy,2013,6.33
Strategy,2014,0.99
Strategy,2015,1.82
